filename,psnr,ssim
test001,23.3103,0.413307
test002,23.2058,0.353478
test003,23.1889,0.344417
test004,22.9784,0.412602
test005,22.0084,0.53861
test006,22.7216,0.342012
test007,22.8219,0.53434
test009,23.16,0.478062
test010,22.925,0.414822
test011,22.3416,0.579744
test012,22.8165,0.511622
test014,23.0556,0.374374
test016,22.3803,0.616526
test017,23.7843,0.331114
test019,22.4667,0.460521
test021,22.9681,0.445378
test022,22.6213,0.622013
test025,22.8285,0.422161
test026,22.6089,0.496275
test028,23.989,0.385236
test029,21.8565,0.519773
test032,22.469,0.642923
test035,22.8201,0.489727
test036,22.6198,0.421784
test038,23.5917,0.354718
test039,23.5927,0.299413
test040,22.2003,0.471378
test041,22.8227,0.510152
test042,22.5323,0.40871
test043,22.9783,0.480114
test044,22.143,0.516305
test045,23.7409,0.251128
test046,21.8946,0.601177
test047,22.4159,0.58177
test050,21.9132,0.55785
test051,22.2435,0.505377
test052,22.5564,0.353328
test053,22.7573,0.333635
test054,23.3968,0.386694
test055,23.2571,0.394662
test056,21.2693,0.67604
test058,22.7914,0.331713
test059,22.7601,0.364597
test060,23.0101,0.326682
test061,22.9371,0.357673
test062,24.453,0.312648
test063,22.4431,0.627716
test064,23.2647,0.405304
test067,22.5024,0.538364
test068,22.2124,0.576719
Average,22.7925,0.453494
